FileName,ParameterAbrValue,ParameterVbvValue,ParameterCbrValue,ParameterCrfValue,Deblock,Bframes,Partitions,LibVersion,PassCount,EncodingTime,OutBitrate,FileSize,DecodingUTime,DecodingSTime,DecodingRTime,DecodingMem
abr-output-0.mp4,11000,,,,1,8,default,4,2,22.94184,10555589,13194487,5.422,0.094,1.303,101124
abr-output-1.mp4,5500,,,,1,8,default,4,2,18.83952,5323228,6654036,4.359,0.109,0.905,99248
abr-output-2.mp4,3300,,,,1,8,default,4,2,14.83347,3190091,3987614,3.531,0.062,0.688,98828
abr-output-3.mp4,1960,,,,1,8,default,4,2,14.12537,1881840,2352301,3.578,0.062,0.693,98208
abr-output-4.mp4,735,,,,1,8,default,4,2,13.24408,721004,901255,2.812,0.094,0.743,97984
abr-output-5.mp4,324,,,,1,8,default,4,2,11.3871,334656,418320,2.859,0.031,0.582,97748
abr-output-6.mp4,11000,,,,1,8,default,5,2,118.6304,8880493,11100617,8.203,0.109,1.882,119900
abr-output-7.mp4,5500,,,,1,8,default,5,2,101.8414,4119686,5149608,5.781,0.078,1.274,118620
abr-output-8.mp4,3300,,,,1,8,default,5,2,80.58077,2454264,3067830,4.219,0.094,0.92,117792
abr-output-9.mp4,1960,,,,1,8,default,5,2,64.69655,1495654,1869568,3.922,0.125,0.879,117304
abr-output-10.mp4,735,,,,1,8,default,5,2,64.52856,622674,778343,3.375,0.109,0.668,116940
abr-output-11.mp4,324,,,,1,8,default,5,2,57.14801,299354,374193,2.75,0.062,0.6,116932
abrvbv-output-0.mp4,11000,11000,,,1,8,default,4,1,23.72689,9492872,11866091,6.172,0.141,1.756,100304
abrvbv-output-1.mp4,5500,5500,,,1,8,default,4,1,17.19642,4544368,5680461,4.062,0.094,0.887,99560
abrvbv-output-2.mp4,3300,3300,,,1,8,default,4,1,13.44064,2591944,3239930,3.672,0.078,0.699,98684
abrvbv-output-3.mp4,1960,1960,,,1,8,default,4,1,13.7225,1508364,1885455,3.375,0.047,0.592,98000
abrvbv-output-4.mp4,735,735,,,1,8,default,4,1,9.943243,479382,599228,2.703,0.047,0.446,97864
abrvbv-output-5.mp4,324,324,,,1,8,default,4,1,9.229231,203345,254182,2.391,0.047,0.438,97708
abrvbv-output-6.mp4,11000,11000,,,1,8,default,5,1,66.43816,11182314,13977893,9.156,0.078,1.977,123552
abrvbv-output-7.mp4,5500,5500,,,1,8,default,5,1,65.04304,5589041,6986302,6.641,0.125,1.454,121900
abrvbv-output-8.mp4,3300,3300,,,1,8,default,5,1,52.972,3351280,4189101,5.672,0.094,1.124,121232
abrvbv-output-9.mp4,1960,1960,,,1,8,default,5,1,42.66284,1988886,2486108,3.969,0.078,0.829,120448
abrvbv-output-10.mp4,735,735,,,1,8,default,5,1,33.1053,732448,915560,3.375,0.078,0.61,119988
abrvbv-output-11.mp4,324,324,,,1,8,default,5,1,29.41432,326512,408141,2.594,0.078,0.516,119896
cbr-output-0.ts,,,11000,,1,8,default,4,1,19.60682,11653744,14567180,5.219,0.188,1.245,103368
cbr-output-1.ts,,,5500,,1,8,default,4,1,15.82612,5838377,7297972,3.781,0.094,0.865,101368
cbr-output-2.ts,,,3300,,1,8,default,4,1,13.81628,3512291,4390364,3.359,0.094,0.689,100616
cbr-output-3.ts,,,1960,,1,8,default,4,1,12.16129,2100636,2625796,3.5,0.078,0.608,99444
cbr-output-4.ts,,,735,,1,8,default,4,1,10.1504,801030,1001288,2.562,0.062,0.465,99016
cbr-output-5.ts,,,324,,1,8,default,4,1,8.967614,374195,467744,2.422,0.031,0.431,99044
crf-output-0.mp4,,,,20,1,8,default,4,1,21.0127,10807015,13508769,5.859,0.141,1.151,100680
crf-output-1.mp4,,,,24,1,8,default,4,1,13.84351,5559439,6949299,4.547,0.078,0.76,99048
crf-output-2.mp4,,,,27,1,8,default,4,1,12.15548,3373383,4216729,3.703,0.078,0.67,98256
crf-output-3.mp4,,,,30,1,8,default,4,1,10.56012,1967125,2458907,3.453,0.062,0.587,98252
crf-output-4.mp4,,,,35,1,8,default,4,1,8.546331,735972,919965,2.703,0.078,0.469,97812
crf-output-5.mp4,,,,40,1,8,default,4,1,7.854719,324060,405075,2.609,0.047,0.438,97712
crf-output-6.mp4,,,,20,1,8,default,5,1,62.439,6942493,8678117,6.484,0.062,1.384,121896
crf-output-7.mp4,,,,24,1,8,default,5,1,50.82884,3652452,4565565,5,0.062,1.051,120828
crf-output-8.mp4,,,,27,1,8,default,5,1,44.38839,2218208,2772760,4.5,0.078,0.931,120868
crf-output-9.mp4,,,,30,1,8,default,5,1,33.72545,1281328,1601660,3.703,0.062,0.655,120236
crf-output-10.mp4,,,,35,1,8,default,5,1,32.41741,445040,556301,3.438,0.047,0.731,119904
crf-output-11.mp4,,,,40,1,8,default,5,1,28.24186,169480,211851,2.844,0.031,0.522,119884
crf2-output-0.mp4,,,,17,1,8,default,5,1,71.97689,11663773,14579717,8.922,0.062,1.887,123448
crf2-output-1.mp4,,,,21,1,8,default,5,1,54.15312,5911488,7389360,6.297,0.047,1.287,121468
crf2-output-2.mp4,,,,24,1,8,default,5,1,44.17294,3652452,4565565,5.188,0.109,0.922,120904
crf2-output-3.mp4,,,,27,1,8,default,5,1,36.46338,2218208,2772760,4.188,0.062,0.868,120568
crf2-output-4.mp4,,,,32,1,8,default,5,1,31.22715,858544,1073180,3.469,0.031,0.6,120076
crf2-output-5.mp4,,,,37,1,8,default,5,1,31.11851,288712,360891,2.828,0.109,0.563,120100
crfvbv-output-0.mp4,,11000,,20,1,8,default,4,1,18.18241,8942540,11178176,5.344,0.062,1.169,99816
crfvbv-output-1.mp4,,5500,,24,1,8,default,4,1,16.07532,4199959,5249949,4.219,0.109,0.84,98812
crfvbv-output-2.mp4,,3300,,27,1,8,default,4,1,13.92197,2503107,3128884,3.453,0.078,0.664,98096
crfvbv-output-3.mp4,,1960,,30,1,8,default,4,1,12.08012,1429873,1787342,3.344,0.078,0.571,97888
crfvbv-output-4.mp4,,735,,35,1,8,default,4,1,10.00364,484364,605456,2.672,0,0.459,97772
crfvbv-output-5.mp4,,324,,40,1,8,default,4,1,9.186711,204376,255470,2.609,0.047,0.441,97668
crfvbv2-output-0.mp4,,11000,,17,1,8,default,5,1,65.64867,10084473,12605592,8.344,0.094,1.708,123008
crfvbv2-output-1.mp4,,5500,,21,1,8,default,5,1,42.99094,4682504,5853130,5.234,0.125,1.071,121360
crfvbv2-output-2.mp4,,3300,,24,1,8,default,5,1,49.02764,2763948,3454935,4.938,0.062,0.98,120772
crfvbv2-output-3.mp4,,1960,,27,1,8,default,5,1,39.86049,1657837,2072297,3.953,0.062,0.793,120360
crfvbv2-output-4.mp4,,735,,32,1,8,default,5,1,34.2198,668520,835650,3.25,0.109,0.65,119964
